epoch,learning_rate,train_loss,validation_loss,validation_mAP,lr_decay_steps
1,0.001,0.3186671907164129,0.314743540692946,0.4394108807249536,388
2,0.0005625000000000001,0.2009254327295523,0.2935045985557264,0.4715241270876359,388
3,0.00031640625,0.16692082417048784,0.28079208362229174,0.5024907870610625,388
4,0.000177978515625,0.14680055326584687,0.27356282660458314,0.5304197001271506,388
5,0.0001001129150390625,0.13578915684897994,0.27420888067893057,0.542285644303113,388
6,5.6313514709472656e-05,0.1269106449363892,0.26734191519570477,0.5464462304108267,388
7,3.167635202407837e-05,0.1227602592837875,0.26764835463515646,0.5463484456458422,388
8,1.7817948013544083e-05,0.11974135254874832,0.2676990174898264,0.5472051458884855,388
9,1.0022595757618546e-05,0.11894567003966826,0.2713135409676011,0.549024472777865,388
10,5.637710113660432e-06,0.11820372960568001,0.2691101038080148,0.5475451464909531,388
11,3.1712119389339933e-06,0.11711353263660107,0.26848714512555527,0.5485672121220398,388
12,1.7838067156503713e-06,0.1176263966107296,0.2656927366487819,0.5462380239135826,388
13,1.0033912775533338e-06,0.11665325158105717,0.26937013493183143,0.5483543037489539,388
14,5.644075936237503e-07,0.11582678860303554,0.2677656085255056,0.5504175925610019,388
15,3.1747927141335955e-07,0.1171867614588195,0.2735986797690224,0.5484590560345012,388
16,1.7858209017001475e-07,0.11605486240154711,0.2694915730494232,0.5498814548783911,388
17,1.0045242572063329e-07,0.11693519655420215,0.2692614219135753,0.5465760993549252,388
18,5.650448946785623e-08,0.11561353818858534,0.26898516251674964,0.5459342442342697,388
19,3.1783775325669126e-08,0.11600855998914424,0.2705442209752708,0.5471994230050579,388
20,1.7878373620688882e-08,0.11629563066713919,0.26571995344165333,0.547631350478483,388
21,1.0056585161637498e-08,0.1158316832805473,0.269695924195284,0.5488824307279584,388
22,5.656829153421092e-09,0.1166451779956508,0.268213508353414,0.5489840038027756,388
23,3.1819663987993643e-09,0.11717129751633222,0.2712588277437038,0.550691548133513,388
24,1.7898560993246425e-09,0.11591139418220954,0.2673922378907418,0.5479298351610147,388
25,1.0067940558701115e-09,0.1159566897809828,0.26607169445660844,0.5478203682916298,388
26,5.663216564269376e-10,0.11593257617535421,0.2683008090530932,0.5491584551770992,388
27,3.185559317401524e-10,0.11682606034352619,0.27122416815510636,0.5470537013622582,388
28,1.7918771160383575e-10,0.11613509066309857,0.27012473931409114,0.5490156100589922,388
29,1.007930877771576e-10,0.11628979275625356,0.26889262920022966,0.5472376239008226,388
30,5.669611187465115e-11,0.11623478140647892,0.27210940186982885,0.5488168297927482,388
31,3.189156292949127e-11,0.11631056736113356,0.2710880474486921,0.54863451140742,388
32,1.7939004147838842e-11,0.11750393039204973,0.2648952043318782,0.5500498456069488,388
33,1.0090689833159348e-11,0.11652017318789562,0.27007649580603754,0.5495261643271702,388
34,5.676013031152133e-12,0.11541290063382452,0.27078602605506047,0.5487533705661687,388
35,3.192757330023075e-12,0.11550262646773554,0.26807336813853133,0.547978305377971,388
36,1.7959259981379796e-12,0.11683975276298889,0.27043211691876173,0.5488475375979516,388
37,1.0102083739526135e-12,0.11610820209298983,0.2688855164141395,0.5474628158217124,388
38,5.682422103483451e-13,0.11597088391233226,0.26964093730714,0.5471458582941421,388
39,3.196362433209441e-13,0.11594577279936934,0.2693057504280171,0.5482984515811383,388
40,1.7979538686803107e-13,0.11688390314034763,0.26936083363537894,0.5481192744852833,388
