epoch,learning_rate,train_loss,validation_loss,validation_mAP,lr_decay_steps
1,0.001,0.39230015818225566,0.3652047862183025,0.361244826117372,388
2,0.0005625000000000001,0.2551112658126949,0.30642026152339286,0.4121501358483586,388
3,0.00031640625,0.21675581256230486,0.2924360053304586,0.4617485015285749,388
4,0.000177978515625,0.19425421002627027,0.27162507488761983,0.48231437069538075,388
5,0.0001001129150390625,0.180096724860887,0.2694001430055573,0.48633634803617043,388
6,5.6313514709472656e-05,0.1701378660479089,0.2656577138384056,0.4905559208056303,388
7,3.167635202407837e-05,0.1659955275796357,0.2616850192409902,0.4973906868108898,388
8,1.7817948013544083e-05,0.1623149110916017,0.26046522491773605,0.5009865434629334,388
9,1.0022595757618546e-05,0.16119374801273265,0.25933385374623485,0.502721919008822,388
10,5.637710113660432e-06,0.15931156196798701,0.2605692750683955,0.5014007829432492,388
11,3.1712119389339933e-06,0.15917727196605708,0.25953440065611433,0.503319835720214,388
12,1.7838067156503713e-06,0.15909789390294815,0.2589996498433609,0.5052368544499923,388
13,1.0033912775533338e-06,0.15853597680749418,0.2602412363745828,0.5041046506614671,388
14,5.644075936237503e-07,0.1577074640012416,0.26050844406163876,0.5025806319622934,388
15,3.1747927141335955e-07,0.1582326026874,0.2627153277791493,0.5042696288305003,388
16,1.7858209017001475e-07,0.15781782918789178,0.25859806482779474,0.5058491986437127,388
17,1.0045242572063329e-07,0.15770741856350398,0.25966110166517753,0.5044595546312249,388
18,5.650448946785623e-08,0.1586472230676694,0.26073769580008227,0.5031826101962563,388
19,3.1783775325669126e-08,0.15812649724586994,0.25944120935324966,0.5028995848557922,388
20,1.7878373620688882e-08,0.15780007009106217,0.2567815032857078,0.5050264792446428,388
21,1.0056585161637498e-08,0.15890839083442737,0.25992046959082793,0.5027719773884781,388
22,5.656829153421092e-09,0.15807482414340931,0.2594680812027613,0.5031557612002143,388
23,3.1819663987993643e-09,0.15824105853190099,0.26214431922079184,0.5039235292864928,388
24,1.7898560993246425e-09,0.15826744698390374,0.259227262730109,0.5036463200907141,388
25,1.0067940558701115e-09,0.15819042963922744,0.257681221568116,0.5049110592087019,388
26,5.663216564269376e-10,0.15759577354794355,0.2573803402154849,0.5044009608271092,388
27,3.185559317401524e-10,0.15872218467741567,0.2583802903090464,0.5057190794471889,388
28,1.7918771160383575e-10,0.15809723422722763,0.2594081473833289,0.504500716751221,388
29,1.007930877771576e-10,0.1591475927537959,0.25977387366265225,0.5042577307745046,388
30,5.669611187465115e-11,0.15886676672925723,0.2583676035380784,0.5027959986411354,388
31,3.189156292949127e-11,0.1579121413069252,0.25846935216197037,0.5051824281052593,388
32,1.7939004147838842e-11,0.15732387524240588,0.26175705122775617,0.5048390323981848,388
33,1.0090689833159348e-11,0.15894714170525442,0.2601847695953003,0.502832725105984,388
34,5.676013031152133e-12,0.15845212026363917,0.25935268206604023,0.5036063461947347,388
35,3.192757330023075e-12,0.15884386187689808,0.2598326354167322,0.5032206504703007,388
36,1.7959259981379796e-12,0.1580579922108789,0.2584510308915171,0.5041623854773,388
37,1.0102083739526135e-12,0.15850536655407246,0.2623044975454461,0.501705262005832,388
38,5.682422103483451e-13,0.15815896510835728,0.2599025069316961,0.5041653986392715,388
39,3.196362433209441e-13,0.15827789996851407,0.26109588900110486,0.5046773454255733,388
40,1.7979538686803107e-13,0.15807894726033658,0.2583544760966358,0.5025824790797915,388
41,1.0113490511326748e-13,0.15819525421211186,0.25981500279143416,0.5028638991968055,388
42,5.688838412621296e-14,0.15844381405441652,0.2603760633560879,0.5035164019854871,388
43,3.199971607099479e-14,0.15845076778778444,0.25906362579933817,0.5049090739536193,388
44,1.7999840289934567e-14,0.15895988131487246,0.2594488705648072,0.5041172702517094,388
45,1.0124910163088195e-14,0.1580875203610114,0.25988515558463626,0.5039199650444293,388
46,5.6952619667371094e-15,0.15901785688790016,0.2597770177144572,0.5026667484660763,388
47,3.203584856289624e-15,0.15750863515842334,0.2605635782242204,0.5040681774149812,388
48,1.8020164816629135e-15,0.1581064451821756,0.2599120471474163,0.5040634271492145,388
49,1.0136342709353887e-15,0.15844476884300088,0.2604321550598791,0.5039356314543857,388
50,5.701692774011563e-16,0.15724235078991713,0.25977507089865903,0.5036772285241872,388
51,3.207202185381504e-16,0.15822667443719443,0.258366470399769,0.5025444650526695,388
52,1.8040512292770958e-16,0.15812273169162755,0.2603123207652005,0.5060537660886504,388
53,1.0147788164683665e-16,0.15761402132544897,0.26180235723566797,0.5029613734508676,388
54,5.708130842634562e-17,0.1585420417919848,0.2589237917958495,0.5050254527323865,388
55,3.210823598981941e-17,0.15807546874952297,0.25870669900462834,0.5051814462905329,388
56,1.8060882744273416e-17,0.15855170260954574,0.2606465670951577,0.5043208472429401,388
57,1.0159246543653797e-17,0.15891254591927687,0.25925250361347163,0.503568647593162,388
58,5.714576180805261e-18,0.15803981528649041,0.25900828665079073,0.5038168892958667,388
59,3.2144491017029593e-18,0.15760262148399604,0.2600975358818375,0.5044286399615705,388
60,1.8081276197079145e-18,0.15840145497234476,0.2582242095276845,0.5055770950803036,388
61,1.0170717860857019e-18,0.1581490514815874,0.25956907131213997,0.5025668247663888,388
62,5.721028796732073e-19,0.15806221309657817,0.2595043886838288,0.5044420275310996,388
63,3.2180786981617914e-19,0.15827929865696921,0.2601159388027673,0.5032834515983496,388
64,1.8101692677160077e-19,0.15908999131376847,0.25926166621679864,0.5028680603837198,388
65,1.0182202130902543e-19,0.15851079598954793,0.2587676623939225,0.5024171964643088,388
66,5.72748869863268e-20,0.15741677867034634,0.259871822725847,0.5026458483541825,388
67,3.221712392980883e-20,0.15873563802481316,0.26099837155297173,0.5039985578503863,388
68,1.8122132210517464e-20,0.1573609875546234,0.2580148481292637,0.5040246343187834,388
69,1.0193699368416075e-20,0.15846070596351386,0.25855158595271177,0.5043816885447107,388
70,5.7339558947340415e-21,0.1582791081520623,0.2582548182227655,0.5035336306432229,388
71,3.2253501907878986e-21,0.15854093601095093,0.2584827799412759,0.5048849304433107,388
72,1.814259482318193e-21,0.158120863334881,0.26051284443428735,0.5022800022325153,388
73,1.0205209588039835e-21,0.1575605739351227,0.25804562038579937,0.5032295961303048,388
74,5.740430393272408e-22,0.15779729987256033,0.25994608773646016,0.5023165051796673,388
75,3.228992096215729e-22,0.15855085132890268,0.25896484958308164,0.5051607621083131,388
76,1.8163080541213476e-22,0.15807778492510882,0.25971697401120936,0.5045697968286873,388
77,1.021673280443258e-22,0.1572424447369718,0.2607612215370872,0.5031910674485263,388
78,5.746912202493326e-23,0.15772595543900086,0.25893014939837966,0.5045203626013556,388
79,3.232638113902496e-23,0.15871400309088282,0.25813556613449873,0.5026604710544298,388
80,1.8183589390701542e-23,0.1582183202858285,0.26180025625200204,0.5022032116024937,388
81,1.0228269032269616e-23,0.1582801361725968,0.2589231210607668,0.5030463305829818,388
82,5.753401330651659e-24,0.15811816735305856,0.2604538681166308,0.5042774519871279,388
83,3.236288248491558e-24,0.1586969244028432,0.2575994940500022,0.5034245280243402,388
84,1.8204121397765013e-24,0.15852700835852274,0.26028148592259276,0.5050160219255584,388
85,1.0239818286242821e-24,0.15837581648831348,0.2592330741507107,0.5064097483849322,388
