true_combination,count,exact_match,most_common_wrong_prediction,wrong_prediction_count
DENMIN+PITAZU+SCIFUV+LEPPOD+PHYNAT,17,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+BOARAN+SCIFUV+LEPPOD,10
SPHSUR+BOABIS+LEPLAT+PHYCUV,17,0.17647058823529413,SPHSUR+BOABIS+LEPLAT+PHYCUV+BOAPRA,8
DENMIN+PITAZU+PHYSAU+PHYALB+SCIFUV,17,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+SCIFUV+LEPPOD,7
PHYCUV+BOAALB+PITAZU,16,0.0,PHYCUV+DENCRU+BOALUN+BOAALB,8
PITAZU+PHYSAU,16,0.0625,DENMIN+PITAZU+PHYSAU+LEPPOD,4
SPHSUR+LEPLAT+RHIICT+BOAFAB,15,0.0,SPHSUR+BOABIS+BOALEP+BOAFAB+PHYCUV+ELABIC,3
PHYDIS+DENELE,15,0.06666666666666667,ninguna,6
LEPFUS+PHYALB,15,0.0,PHYALB,7
DENMIN+PITAZU+PHYSAU+SCIFUV,15,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+SCIFUV+LEPPOD,8
SPHSUR+BOABIS+BOALEP+PHYCUV+ELABIC,15,0.2,SPHSUR+BOABIS+BOALEP+BOAFAB+ELABIC,8
SPHSUR+BOABIS+SCIPER+LEPLAT+ELABIC,15,0.0,SPHSUR+BOABIS+LEPLAT+BOALEP,4
DENMIN+PITAZU+DENNAN+SCIFUV+PHYNAT,15,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+BOARAN+SCIFUV+ELAMAT,9
BOAFAB+DENELE,14,0.0,BOAFAB+BOAALM+PHYDIS,9
DENMIN+PHYALB+BOARAN+SCIFUV+PHYNAT,14,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+SCIFUV+ELAMAT,13
LEPFUS+PHYALB+AMEPIC,14,0.0,PHYALB+LEPPOD,9
PITAZU+LEPFUS+PHYALB,14,0.0,PITAZU+PHYSAU+LEPFUS+PHYALB,7
SPHSUR+SCIPER+BOAFAB+PHYCUV,13,0.0,SPHSUR+BOABIS+SCIPER+DENNAH+LEPLAT+BOAFAB+PHYCUV,4
SPHSUR+SCIPER+LEPLAT+RHIICT+BOAFAB,13,0.0,SPHSUR+BOABIS+BOALEP+BOAFAB+ELABIC,3
SPHSUR+BOAFAB+PHYCUV+DENMIN,13,0.15384615384615385,SPHSUR+LEPLAT+BOAFAB+PHYCUV+DENMIN,5
PITAZU+DENNAN+PHYALB,13,0.0,PITAZU+DENNAN+PHYALB+LEPPOD,10
SPHSUR+SCIPER+LEPLAT+BOAFAB+PHYCUV+ELABIC,13,0.0,SPHSUR+BOABIS+SCIPER+LEPLAT+BOALEP+BOAFAB+PHYCUV+DENMIN,3
PITAZU+PHYALB+SCIFUV,12,0.0,PITAZU+PHYSAU+LEPFUS+PHYALB+BOARAN+SCIFUV+LEPPOD,3
PITAZU+DENNAN+PHYALB+LEPPOD,12,0.25,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+LEPPOD,6
PHYALB+LEPLAB+LEPPOD+ADEDIP,12,0.5,PHYALB+LEPLAB+ADEDIP,5
LEPLAB,12,0.0,LEPFUS+BOARAN,4
SPHSUR+BOABIS+SCIPER+PHYCUV+ELABIC,12,0.16666666666666666,SPHSUR+BOABIS+PHYCUV,2
DENNAN+PHYALB,12,0.08333333333333333,DENMIN+PITAZU+DENNAN+PHYALB,3
DENMIN+PITAZU+DENNAN+LEPPOD,12,0.08333333333333333,DENMIN+PITAZU+PHYSAU+DENNAN+LEPPOD,10
PHYCUV+DENCRU,12,0.0,PHYCUV,11
RHIORN,11,0.0,LEPNOT+BOAALM+PHYDIS,6
DENMIN+PHYALB+SCIFUV,11,0.0,PITAZU+PHYSAU+PHYALB+SCIFUV+ELAMAT,4
BOAFAB+BOAALM+DENELE,11,0.0,BOAFAB+LEPNOT+BOAALM+PHYDIS,7
SCIRIZ,11,0.8181818181818182,PHYDIS+SCIRIZ,1
BOABIS+PHYCUV,10,0.0,SPHSUR+BOABIS+LEPLAT+PHYCUV+DENMIN+BOAPRA,5
DENCRU+BOAALB,10,0.0,BOAALB,7
PITAZU+DENNAN+LEPPOD,10,0.1,DENMIN+PITAZU+PHYSAU+DENNAN+LEPPOD,5
SPHSUR+BOABIS+SCIPER+BOALEP,10,0.0,SPHSUR+BOABIS+BOALEP,10
DENMIN+DENNAN+PHYALB+SCIFUV+LEPPOD,10,0.0,DENMIN+PITAZU+DENNAN+PHYALB+SCIFUV+LEPPOD,5
SPHSUR+SCIPER+DENNAH+BOAFAB+PHYCUV,10,0.0,SPHSUR+BOABIS+SCIPER+DENNAH+LEPLAT+BOAFAB+PHYCUV,9
BOABIS+SCIPER+DENNAH+RHIICT,9,0.0,SPHSUR+BOABIS+SCIPER+DENNAH+LEPLAT,6
SPHSUR+SCIPER+DENNAH+LEPLAT+BOAFAB+PHYCUV+ELABIC,9,0.0,SPHSUR+BOABIS+SCIPER+DENNAH+LEPLAT+BOAFAB+PHYCUV,7
DENMIN+PITAZU+DENNAN+PHYALB+SCIFUV,9,0.2222222222222222,DENMIN+PITAZU+DENNAN+PHYALB+SCIFUV+ELAMAT,3
SPHSUR+BOABIS+LEPLAT+ELABIC,9,0.0,SPHSUR+BOABIS+LEPLAT,8
DENMIN+PITAZU+PHYSAU+PHYALB+SCIFUV+PHYNAT,9,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+BOARAN+SCIFUV+ELAMAT,7
SPHSUR+BOABIS+LEPLAT+BOALEP+BOAPRA,9,0.1111111111111111,SPHSUR+BOABIS+LEPLAT+BOALEP,7
DENMIN+PITAZU+PHYSAU,9,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+SCIFUV+LEPPOD,4
LEPFUS+LEPLAB+BOARAN,9,0.0,LEPFUS+LEPLAB+BOARAN+SCIFUV+PHYNAT,9
PHYCUV+DENMIN+DENNAN+PHYALB+SCIFUV+LEPELE,9,0.0,PHYCUV+DENMIN+PITAZU+DENNAN+PHYALB+SCIFUV+ELAMAT,3
